source,target
translate ASL to English: MARY TOM TELL,What did Tom tell Mary?
translate ASL to English: YOU THEY TELL,What did they tell you?
translate ASL to English: WHAT MARY TELL,Tell Tom what Mary did.
translate ASL to English: TOM I TELL,Tell Tom that I'm fine.
translate ASL to English: WHAT THIS TELL,Tell me what this says.
translate ASL to English: ME I TELL,Tell me how I can help.
translate ASL to English: TOM YOU TELL,What would you tell Tom?
translate ASL to English: WHAT THAT TELL,Tell us what that means.
translate ASL to English: WHAT YOU TELL,Tell them what you want.
translate ASL to English: WHAT THIS TELL,Tell me what this means.
translate ASL to English: US IT TELL,Just tell us what it is.
translate ASL to English: ME IT TELL,Just tell me what it is.
translate ASL to English: IT TELL,Can you tell what it is?
translate ASL to English: WHAT I TELL,Tell me what I did wrong.
translate ASL to English: OTHERS 'S LET,Let's go tell the others.
translate ASL to English: TOM YOU GO,Go tell Tom how you feel.
translate ASL to English: YOU I DO,Do what I tell you to do.
translate ASL to English: US IT TELL,Please tell us what it is.
translate ASL to English: TOM DOG TELL,Tell Tom to let the dog in.
translate ASL to English: WHAT THIS TELL,Tell me what this is about.
translate ASL to English: ME MATTER TELL,Tell me what the matter is.
translate ASL to English: ME IT TELL,Please tell me what it was.
translate ASL to English: WHAT YOU TELL,Just tell us what you want.
translate ASL to English: WHAT YOU TELL,Just tell me what you need.
translate ASL to English: ME YOU NEED,What do you need to tell me?
translate ASL to English: TOM YOU TELL,Tell Tom you'd like to help.
translate ASL to English: TOM HIM TELL,Tell Tom you want him to go.
translate ASL to English: I TELL,Tell Tom I don't want to go.
translate ASL to English: WHAT YOU TELL,Just tell Tom what you want.
translate ASL to English: WHAT YOU TELL,Just tell Tom what you need.
translate ASL to English: POLICE YOU TELL,What did you tell the police?
translate ASL to English: WHAT YOU TELL,Please tell me what you want.
translate ASL to English: HELP I TELL,Tell Tom that I need his help.
translate ASL to English: ME THIS TELL,Tell me this is going to work.
translate ASL to English: WHAT YOU NEED,You need to tell me what to do.
translate ASL to English: WHAT YOU HAVE,You have to tell me what to do.
translate ASL to English: WHAT YOU TELL,You can tell Tom what you want.
translate ASL to English: WHAT WE NEED,We need to tell Tom what to do.
translate ASL to English: TIME YOU WANT,What do you want to do this time next week?
translate ASL to English: WHAT THIS TELL,Tell me what this is all about.
translate ASL to English: WHAT I TELL,Tell me what else I need to do.
translate ASL to English: WHAT I TELL,Just tell me what I need to do.
translate ASL to English: WHAT I TELL,Can you tell what I need to do?
translate ASL to English: TOM I TELL,"Tell Tom that I want to go, too."
translate ASL to English: WHAT YOU TELL,Tell me what you need right now.
translate ASL to English: ME IT TELL,Just tell me it was an accident.
translate ASL to English: DIFFERENCE YOU TELL,How can you tell the difference?
translate ASL to English: THEM TOM HAVE,All Tom had to tell them was no.
translate ASL to English: BOSTON IT TELL,Tell me what it's like in Boston.
translate ASL to English: WHAT I TELL,Please tell me what I need to do.
translate ASL to English: WHAT I TELL,"Now, tell me what I want to know."
translate ASL to English: WHAT YOU WANT,I want you to tell me what to do.
translate ASL to English: WHAT YOU NEED,I need you to tell me what to do.
translate ASL to English: THAT YOU HAVE,You had no right to tell Tom that.
translate ASL to English: WHAT TOM TELL,Who can tell what Tom is thinking?
translate ASL to English: TOM WHAT NEED,We need to tell Tom what happened.
translate ASL to English: BOSTON YOU TELL,Tell Tom you want to go to Boston.
translate ASL to English: IT I TELL,Tell me what to do and I'll do it.
translate ASL to English: HIM YOU TELL,"If you want to tell Tom, tell him."
translate ASL to English: IT YOU TELL,You can tell me all about it later.
translate ASL to English: TOM YOU LIKE,What would you like me to tell Tom?
translate ASL to English: HIM YOU TELL,Tell Tom you'd like to go with him.
translate ASL to English: WHAT I TELL,Now just tell me what I need to do.
translate ASL to English: THIS WHO WANT,I want you to tell me who did this.
translate ASL to English: IT I TELL,Tell me what to do and I will do it.
translate ASL to English: WHAT YOU NEED,You don't need to tell me what to do.
translate ASL to English: SOMETHING YOU TELL,Tell Tom you'd like something to eat.
translate ASL to English: TOM I TELL,Just tell me what I need to tell Tom.
translate ASL to English: THIS YOU WANT,I want you to tell me how to do this.
translate ASL to English: YOU I TELL,"When the time is right, I'll tell you."
translate ASL to English: WHAT THEY TELL,Please tell them what they need to do.
translate ASL to English: IT GO,It is gone now.
translate ASL to English: WHAT YOU NEED,You need to tell me what you want to do.
translate ASL to English: APPLE THIS TELL,Can you tell what kind of apple this is?
translate ASL to English: THAT YOU NEED,You don't need to tell me how to do that.
translate ASL to English: LOVE IT TELL,Tell me what it feels like to be in love.
translate ASL to English: WHAT ME NEED,You need to tell me what you want me to do.
translate ASL to English: THIS YOU DO,You can do it like this.
translate ASL to English: WHAT I KNOW,I don't know what to do right now.
translate ASL to English: INDIA I WANT,I want to go to India.
translate ASL to English: CHICKEN VEGETARIANS EAT,"No, vegetarians don't eat chicken or fish."
translate ASL to English: WORLD I HAVE,I have all the time in the world.
translate ASL to English: WORLD WE HAVE,We have all the time in the world.
translate ASL to English: TABLE 'S LET,Let's sit at the same table.
translate ASL to English: ASSUMPTION THAT WORK,"In our office, we work on the assumption that everything that can go wrong will go wrong."
translate ASL to English: WATER I WANT,I want hot water.
translate ASL to English: GUINNESS I WANT,I want to drink a Guinness right now.
translate ASL to English: GUINNESS I WANT,I want to drink a pint of Guinness right now.
translate ASL to English: LUNCH YOU EAT,At what time do you eat lunch and supper?
translate ASL to English: MARY I WANT,I want to meet Mary.
translate ASL to English: PARK WHO WANT,Who wants to go to the park?
translate ASL to English: THAT PRONOUNCE,How is that pronounced?
translate ASL to English: BEARD SON HAVE,My son has a black beard.
translate ASL to English: I NEED,I need to go there.
translate ASL to English: SERVANTS FAMILY HAVE,That rich family has many servants.
translate ASL to English: BEACH WE WANT,We want to go to the beach.
translate ASL to English: COMPUTER WORK,This computer works well now.
translate ASL to English: TENNIS WHO GO,Who is going to play tennis?
translate ASL to English: I LIKE,I would like to eat there.
translate ASL to English: PROFESSOR DIE,That professor died last year.
translate ASL to English: THAT I HAVE,I don't have the time to do that right now.
translate ASL to English: FOOT THEY GO,They go to work on foot.
translate ASL to English: COMPUTER START,The computer started.
translate ASL to English: TOM YOU MEET,How did you meet Tom?
translate ASL to English: TIME WE WASTE,We're all wasting time.
translate ASL to English: MAN I SEE,I can see a man and a woman.
translate ASL to English: BED I GO,Can I go to bed now?
translate ASL to English: TOM WANT,Tom didn't want to go out to play.
translate ASL to English: THIS I EAT,I can't eat all of this.
translate ASL to English: THAT WHO DO,Who would do something like that?
translate ASL to English: I BE,There's something I need to do right now.
translate ASL to English: ATTITUDE CHANGE ACHIEVE,How can a change of attitude be achieved?
translate ASL to English: I NEED,I need to sleep now.
translate ASL to English: HEARING BEGIN,Tom's hearing is beginning to go.
translate ASL to English: TOM BEGIN,Tom is beginning to go deaf.
translate ASL to English: ADVENTURE I LIKE,I'd like to go on an adventure.
translate ASL to English: FISH I NEED,I need a fish.
translate ASL to English: WHAT MOTHER DO,Do what your mother said.
translate ASL to English: WE GET,We've got to go now.
translate ASL to English: IT WE SEE,We've all seen it before.
translate ASL to English: THAT WE SEE,We've all seen that before.
translate ASL to English: WE GO,We're going to go now.
translate ASL to English: HELP WE GO,We're going to need help.
translate ASL to English: WE MANAGE,We're managing all right.
translate ASL to English: THAT WE INVESTIGATE,We're investigating that right now.
translate ASL to English: WE WORK,We'll all work together.
translate ASL to English: IT WE DO,We'll do it the same way we did it last time.
translate ASL to English: TIME WE DO,We'll be done in no time.
translate ASL to English: THAT WE HAVE,We'll have to work on that.
translate ASL to English: THIS WE HAVE,We'll have to finish this later.
translate ASL to English: THIS WE HAVE,We'll have to do this later.
translate ASL to English: THIS WE FINISH,We'll finish this later.
translate ASL to English: IT WE CHANGE,We'll change it.
translate ASL to English: IT WE DO,We'll do it just like before.
translate ASL to English: SCHOOL WE HAVE,We have to go to school.
translate ASL to English: HANDS WE HAVE,We have our hands full right now.
translate ASL to English: WE MEET,We met last year.
translate ASL to English: IT MAKE,We can make it work this time.
translate ASL to English: IT WE DO,We can do it right this time.
translate ASL to English: TIME WE HAVE,We all had a great time.
translate ASL to English: TIME WE NEED,We just need time.
translate ASL to English: SCHOOL WE DO,We did it in school.
translate ASL to English: THAT WE WORK,We can work on that right now.
translate ASL to English: THIS WE NEED,We need to deal with this now.
translate ASL to English: HELP WE NEED,We need your help right now.
translate ASL to English: IT WE HAVE,We don't have it right now.
translate ASL to English: TOM WE HELP,We can help Tom now.
translate ASL to English: WE GO,We can go shopping later.
translate ASL to English: IT WE NEED,We may need it later.
translate ASL to English: WE FINISH,We can finish later.
translate ASL to English: WE NEED,We need to go back in.
translate ASL to English: WE WALK,We can all walk home.
translate ASL to English: HELP WE NEED,We need help in here.
translate ASL to English: HELP WE NEED,We need help here.
translate ASL to English: WHAT YOU LIKE,What would you like to order?
translate ASL to English: MAN WOMAN CALL,The woman calls the man.
translate ASL to English: IT WE FINISH,We can finish it later.
translate ASL to English: ORANGE I HAVE,I have an orange and an apple.
translate ASL to English: FAMILY COMPUTERS HAVE,Computers have no family.
translate ASL to English: THAT YOU BE,There's no need for you to do that now.
translate ASL to English: THAT YOU NEED,You don't need to do that now.
translate ASL to English: WE GO,"Can we go now, please?"
translate ASL to English: THIS I HAVE,I don't have time to deal with this right now.
translate ASL to English: TIME I HAVE,I don't have a lot of time right now.
translate ASL to English: TIME I HAVE,I don't have time to eat right now.
translate ASL to English: THAT I HAVE,I don't have time to do that now.
